linea;desde;hasta;estacion;pasajeros
A;06:30;06:44;Flores;16
B;06:30;06:44;Rosas;77
D;06:30;06:44;Scalabrini Ortiz;10
D;06:30;06:44;Palermo;21
D;06:30;06:44;Aguero;12
E;06:30;06:44;Bolivar;4
B;06:30;06:44;Federico Lacroze;172
C;06:30;06:44;Avenida de Mayo;8
B;06:30;06:44;Dorrego;25
A;06:30;06:44;Puan;7
A;06:30;06:44;Piedras;3
D;06:30;06:44;Olleros;10
A;06:30;06:44;Congreso;8
C;06:30;06:44;San Juan;15
E;06:30;06:44;Pza. de los Virreyes;100
E;06:30;06:44;Urquiza;3
D;06:30;06:44;Facultad de Medicina;12
B;06:30;06:44;Malabia;26
E;06:30;06:44;Pichincha;10
D;06:30;06:44;Ministro Carranza;13
D;06:30;06:44;Callao.;12
E;06:30;06:44;General Belgrano;4
A;06:30;06:44;Primera Junta;28
C;06:30;06:44;Retiro;132
B;06:30;06:44;Angel Gallardo;23
H;06:30;06:44;Hospitales;10
A;06:30;06:44;Plaza Miserere;50
A;06:30;06:44;Lima;5
B;06:30;06:44;Carlos Gardel;13
D;06:30;06:44;Plaza Italia;5
E;06:30;06:44;Boedo;9
H;06:30;06:44;Once;15
H;06:30;06:44;Venezuela;6
E;06:30;06:44;Varela;4
D;06:30;06:44;Catedral;26
D;06:30;06:44;Pueyrredon.;12
D;06:30;06:44;Juramento;18
H;06:30;06:44;Humberto I;8
B;06:30;06:44;Florida;9
B;06:30;06:44;Pasteur;12
C;06:30;06:44;Lavalle;7
D;06:30;06:44;Bulnes;12
A;06:30;06:44;Acoyte;18
A;06:30;06:44;Alberti;5
A;06:30;06:44;San Pedrito;66
C;06:30;06:44;Diagonal Norte;1
B;06:30;06:44;Leandro N. Alem;110
B;06:30;06:44;Echeverria;11
C;06:30;06:44;General San Martin;1
E;06:30;06:44;Emilio Mitre;7
H;06:30;06:44;Corrientes;1
B;06:30;06:44;Callao;14
H;06:30;06:44;Patricios;20
A;06:30;06:44;Pasco;3
C;06:30;06:44;Mariano Moreno;5
B;06:30;06:44;Uruguay;11
D;06:30;06:44;Congreso de Tucuman;56
B;06:30;06:44;Pueyrredon;15
E;06:30;06:44;Jose Maria Moreno;13
D;06:30;06:44;Jose Hernandez;19
D;06:30;06:44;9 de julio;9
A;06:30;06:44;Saenz Peña;10
E;06:30;06:44;Independencia.;12
A;06:30;06:44;Carabobo;18
E;06:30;06:44;Jujuy;5
B;06:30;06:44;Tronador;11
C;06:30;06:44;Independencia;12
A;06:30;06:44;Peru;6
E;06:30;06:44;Avenida La Plata;10
E;06:30;06:44;Medalla Milagrosa;5
A;06:30;06:44;Rio de Janeiro;6
E;06:30;06:44;San Jose;10
A;06:30;06:44;Plaza de Mayo;19
H;06:30;06:44;Inclan;13
A;06:30;06:44;Castro Barros;9
H;06:30;06:44;Caseros;9
C;06:30;06:44;Constitucion;815
B;06:30;06:44;Carlos Pellegrini;32
C;06:45;06:59;Retiro;235
C;06:45;06:59;Lavalle;5
D;06:45;06:59;Facultad de Medicina;12
E;06:45;06:59;Emilio Mitre;6
E;06:45;06:59;Avenida La Plata;9
A;06:45;06:59;Loria;14
A;06:45;06:59;Rio de Janeiro;9
B;06:45;06:59;Florida;14
E;06:45;06:59;Varela;6
A;06:45;06:59;Plaza de Mayo;23
B;06:45;06:59;Uruguay;7
B;06:45;06:59;Carlos Gardel;15
A;06:45;06:59;Lima;8
A;06:45;06:59;Alberti;6
E;06:45;06:59;Jujuy;8
A;06:45;06:59;Peru;4
H;06:45;06:59;Inclan;6
E;06:45;06:59;General Belgrano;9
E;06:45;06:59;Pza. de los Virreyes;77
A;06:45;06:59;Congreso;8
C;06:45;06:59;Diagonal Norte;1
C;06:45;06:59;General San Martin;7
D;06:45;06:59;Tribunales;2
B;06:45;06:59;Medrano;26
H;06:45;06:59;Venezuela;7
C;06:45;06:59;San Juan;9
B;06:45;06:59;Malabia;35
B;06:45;06:59;Federico Lacroze;159
A;06:45;06:59;Castro Barros;9
A;06:45;06:59;Flores;16
B;06:45;06:59;Angel Gallardo;25
D;06:45;06:59;Olleros;13
E;06:45;06:59;Pichincha;7
B;06:45;06:59;Leandro N. Alem;91
D;06:45;06:59;Callao.;18
E;06:45;06:59;San Jose;7
